meta_title,meta_description,title,content
CivicPlus | Constituent Profiles and How it Helps Drive the Value of CRM,,"Our SeeClickFix 311 CRM solution is more than a request management system. It offers customer relationship management capabilities so that you can store and refer to individual resident correspondence and offer the type of personalized service that results in positive civic experiences.

In this recorded presentation, our solutions director, Cari Tate, shares how our software's Constituent Profile feature optimizes your investment in a CRM system and, more importantly, can help you delight residents with every digital interaction."
Recreation Management Software for Local Government | CivicRec,
Recreation Management Software for Local Government | CivicRec,
Free Resources for Local Government | CivicPlus,
CivicRec | Client Requested CivicRec Enhancements,,NEW Client-Requested Feature Enhancements to CivicRec®,"Join our solution innovators for a walkthrough of our latest software enhancements, inspired by your feedback, ideas, and requests. We’re rolling out the following time-saving features:

Memberships:
Put memberships on hold
Bulk-edit due dates and amounts due
Contactless payment
New Scholarship module
New communication tools:
Notifications
Text messages
Bulk email editing
Managing pre-requisites
Bulk editing cancellations of facility reservations
Journal entries
User credit conversions"
Accessibility Webinar: Enhancing Digital Inclusion,,Why COVID-19 Just Made Digital Accessibility More Important Than Ever,"Since your citizens are more dependent on digital self-service tools than ever before, you cannot risk inaccessible information, content, or resources. With lawsuits and penalty fines as the consequences for non-compliance, learn what you can do today to ensure your website and digital communications are accessible and consumable through assistive technology.


Join our special guest Marsha Schwanke, web specialist from the Southeast ADA Center, one of ten regional centers in the ADA National Network and a project of the Burton Blatt Institute at Syracuse University for a discussion on the impact of the COVID-19 pandemic on ensuring equitable access to civic information and the need for digital-first content.
 
You will have access to the webinar recording, as well as the webinar slide deck and resource link document, plus Bonus Content entitled, ""How Screen Readers Work."" "
CivicEngage | What Local Govs Need to Know About CARES Act Funding,,Webinar: What Local Governments Need to Know About CARES Act Funding,"With CARES Act funding, your municipality may be eligible to use the funds to implement new technology to help ensure business continuity in the wake of COVID-19.

Listen in to CivicPlus® and special guests from Crowe Risk Consulting, LLP to learn:

What is the CARES Act and what it offers to local governments
What entities are eligible for reimbursement
What are the qualification parameters
How to apply and what data is needed to justify expenditures
How citizen expectations for digital engagement with their municipality are changing

 

Bonus Case Studies: How some local governments have already successfully migrated services online

 

Guest Speakers:

Bert Nuehring

Partner, Consulting, Crowe, LLP Risk Consulting

Bert leads the firm’s government consulting services group. He has more than 30 years of public accounting experience providing public sector organizations with services in the areas of:

Accounting and auditing
Finance and budgeting
Management consulting
Internal controls
Process improvements

Professional Affiliations

American Institution of Certified Public Accountants member
Certified Public Accountants member in:
Arkansas, California, Florida, Illinois, Missouri, New York, and Ohio
Association of School Business Officials member
Government Finance Officers Association member

Education

Bachelor of Arts, Accounting and Business Administration"
CivicPlus | Chatbot - A Positive Citizen Experience,,Could a Chatbot be the Key to More Positive Civic Experience in Your Community?,"Your citizens’ expectations for what defines a positive civic interaction with their local government have changed over the past year. They now expect on-demand, anytime, any device help when searching for local information and regulations.

That means it’s time for automation.

In this recording, our technology innovators talk about how chatbot technology frees up municipal staff for critical project work while creating digital and delightful citizen interactions. You’ll learn:

Why chatbots are becoming a foundational element of citizen service post-pandemic
How local governments across the country are using chatbot technology successfully, including Lebanon, NH; Miramar, FL; Pierce County, WA; Bucks County, PA; Stearns County, MN; and Portland, ME
How the CivicPlus® Chatbot’s new auto-translation functionality supports multi-cultural communities

Our Guests

Colby Ring, Frase

Colby Ring is the head of sales at Frase. Colby trains and onboards CivicPlus customers so they can be successful using the CivicPlus Chatbot. Prior to Frase, Colby spent over 10 years in sales and service at the fastest growing chat technology companies in the world, including Hubspot and Drift.

Michele Beckett, CivicPlus Account Executive

As the Account Executive for CivicPlus Chatbot powered by Frase, Michele is primarily responsible for understanding and addressing the citizen service and engagement needs of local government communicators, administrators, and IT teams. Drawing on her over 13 years of customer service experience, Michele understands the art of active listening and how important it is to understand the needs and goals of both the client and the populations in which they serve."
CivicEngage | Cybersecurity Awareness Month,,What You Need to Know About the Intersection of COVID-19 and Cybersecurity ,"Hackers and cyber-extortionists are attempting to take advantage of the COVID-19 crisis by attacking public sector websites. We’re here to stop them. Hear our security team talk about the latest threats and how you and your content managers can protect your digital properties. Our team will discuss:
Cybersecurity trends during COVID-19
Protecting your remote workers
Election security
Security awareness considerations for all staff members and digital content managers"
Global Accessibility Day Webinar,, A Personal and Practical Look at Digital Accessibility On Global Accessibility Day 2020,"We all understand the overarching need for digital accessibility—ensuring every citizen has access to municipal content in compliance with the American with Disabilities Act (ADA). On this year’s Global Accessibility Day, we are thinking about access, not in theory, but in practice and from the perspective of a citizen who intimately knows what it means to be reliant on accessibility remediation tools.

Watch the recording to hear Don Torrez, CivicPlus® Accessibility Partner Manager, and Angie Brunk, MLS, MA, for #realtalk about living with a disability and the value of digital remediation technology. Born with a visual impairment, Angie is an experienced public service librarian who recently completed an MAS in Human Factors and Usability testing specializing in accessibility. Together, Angie and Don will discuss the digital accessibility challenges of citizens living with a visual, auditory, or physical impairment, and how our AudioEye accessibility remediation software can help.

About Your Hosts

Angie Brunk, MLS, MA

Angie is an experienced public service librarian and recently completed an MAS in Human Factors and Usability testing (think user experience design) specializing in accessibility. She has taught basic graphic design courses for communications majors and incorporated basic graphic design into her practice as a librarian. Ms. Brunk has published conference proceedings and presentations on various aspects of accessibility and libraries. Her recent presentations include:

A poster and a short paper for the Cambridge Workshop on Universal Access and Assistive Technology
Presentation on accessible and inclusive design for library marketing at Library Marketing and Communications
An article on Accessible and Inclusive Design for the Marketing Library Services newsletter
A book chapter on gamification and accessibility in an anthology published by the Association of College and Research Libraries

Other recent projects include accessibility audits for a library software vendor and a museum. In addition to being born with a visual impairment, she has served on disability services advisory boards at three universities and worked with numerous students with disabilities."
Governing Through Crisis | Citizen Crisis Communication Management,,Webinar Series: Governing Through Crisis,"We know that you want to flatten the curve of COVID-19 and continue to keep your citizens safe and informed, and to do that, you need tools that work anywhere and maximize the reach of your communications.

Join Justin Hammon, CivicEngage Solution Engineer, for a demonstration of the CivicEngage communication features and modules that will be most valuable as you keep your citizens engaged and informed during the COVID-19 pandemic including:

Alert Center – Post important information in a highly visible position within a CivicEngage website, and send detailed, immediately relevant information from a single interface.
NotifyMe® – This communication subscription tool allows citizens to subscribe to receive multi-channel notifications on only those topics that matter most to them while providing them with the option to choose to be notified by email, or text message.
CivicEngage® Send –Our powerful communication creation and distribution module that allows you to send multi-channel citizen communications from one easy-to-use system, including email, text, and social media.

We believe that social distancing shouldn’t leave you disconnected from your citizens. Sign up to join our webinar and maximize the efficiency of your existing communication tools.

If you cannot attend this webinar in person, still register, and we will send you a recording of the presentation 48 hours after the live broadcast.

For resources, information, and education about COVID-19, visit our crisis management portal."
Governing Through Crisis | The Story of COVID Through Numbers,,Webinar Series: Governing Through Crisis," 

In the first few weeks of the emerging COVID-19 pandemic, we all went into a react-and-protect mode. Now that a few weeks have passed in our new normal, our local government insiders have taken a step back to analyze national trends and data aggregated from our over 4,000 local government clients.

Join CivicPlus® Director of Product Strategy Jonathan Wiersma as he shares what we’ve learned and how it can help local governments prepare for the future state of governing in the post-COVID-19 era. We’ll discuss:

Staffing transitions and challenges resulting from remote operations
Communication methods, messaging, and media lessons learned
Why we just surpassed the mobile tipping point
Device and broadband proliferation
Preparing to provide services with an online imperative

If you cannot attend this webinar in person, still register, and we will send you a recording of the presentation 48 hours after the live broadcast.

For resources, information, and education about COVID-19, visit our crisis management portal."
Governing Through Crisis | Part VI,,Webinar Series: Governing Through Crisis,"Reaching most citizens with crucial COVID-19 updates, instructions, and safety instructions is not good enough. Your administration’s message needs to reach every single member of your community, including the one-in-five living with a disability. With the foundation of your COVID-19 communication strategy being digital, now is the time to assess your Americans with Disability Act (ADA) compliance and ensure your critical updates are reaching every citizen in a consumable manner.

Join Don Torrez, CivicPlus Partner Manager for Accessibility Solutions, for Part VI of our Governing Through Crisis Series. Don will discuss strategy for embedding accessibility best practices into your emergency response communications and share how to automate critical compliance actions to expedite your message distribution.

For resources, information, and education about COVID-19, visit our crisis management portal."
Governing Through Crisis | Part VII,,Webinar Series: Governing Through Crisis,"COVID-19 is a devastating disrupter that no one saw coming. Parks and recreation departments across the country have been on the front lines of the nation’s efforts to flatten the curve by rapidly enforcing public social distancing mandates, canceling classes, leagues, and events, and refunding reservations. 

We know your parks and recreation management software is a critical component of your logistics management and response process, and so we’d like to show you how our CivicRec software can help ease the burden of your time-consuming tasks. 

Join Brian Stapleton, CivicRec Product Manager, for a demonstration of the software features that will be most helpful as you coordinate your operational logistics, including recent solution enhancements designed in direct response to our clients’ needs during the COVID-19 crisis. 

Brian will showcase: 

CivicRec notification functionality  
How to edit program periods 
How to rollover programs 
New: How to bulk edit the amount due for payments in the A/R center"
CivicEngage | Local Government Accessibility 101,,Digital Accessibility for Local Governments 101: What Compliance Looks Like in 2021,"You have likely heard the term “digital accessibility” and know it is an important consideration when creating your local government website’s digital content. Better yet, you may have an accessibility compliance policy in place. Both familiarity levels are a step in the right direction for providing digitally accessible solutions for your community. 


Take it one step further. 


In this recording, our Accessibility experts discuss:
Important definitions, like WCAG 2.0 and how a visual, auditory, or physical disability impacts one’s digital engagement experience  
Digital accessibility requirements related to local government websites
Assistive technology and its dependence on accessible website content
Resources to help improve digital accessibility
CivicPlus®’s commitment to helping you stay compliant"
CivicEngage | Celebrating Global Accessibility Day,,"Accessibility Now and in the Future:
An Exploration of Where Digital Accessibility is and Where It’s Headed","Our CivicSummitTM session on the topic of digital accessibility was so popular that we wanted to continue elevating discussions on the importance of accessibility, especially as we recognize Global Accessibility Awareness Day. Digital accessibility is an ever-evolving concept and staying up-to-date with the latest news and guidelines requires consistent awareness.

For local governments looking to take the next step forward in their accessibility compliance strategy, join our digital accessibility experts on Global Accessibility Awareness Day as they discuss:

Updates to the legal landscape of accessibility in municipal government
Accessibility guidance and your responsibility as a local government leader to ensure accessible content
How CivicPlus® and our accessibility partner, AudioEye, can help you ensure compliance across your digital assets
BONUS: Hear from one of our trainers specializing in digital accessibility about making your website more compliant"
CivicEngage | Municipal Web Design Best Practices,,Municipal Web Design Best Practices and What We Learned from COVID-19,"In this recording, two of our award-winning designers take your through best practices in municipal web design that any content creator can master (no coding skills or fine arts background required). They’ll review:

How to prioritize content and interactions
How to use heat maps to inform your redesign
What the COVID-19 pandemic has taught us about digital interactions and how it’s changing web design and content prioritizations
Resources available to CivicPlus clients to help them build a custom, actional web design strategy

Bonus Material: All registrants will receive a web design best practices checklist"
CivicEngage | National Disability Independence Day,,"National Disability Independence Day
","The Americans with Disabilities Act (ADA) was signed into law on July 26, 1990, to recognize and protect the civil rights of those people with disabilities and to guarantee they have the same opportunities to participate in American life as everyone else. As the years have passed and evolutions in technology have made leaps and bounds, the ADA is more important now than ever before because so many people rely on their governments for public services.

In this recording, our accessibility expert, Angie Brunk, discusses her own experience in navigating government websites as a sight impaired UX designer, best practices for accessible government website design and functions, and what is on the horizon for ADA compliance.

About Our Guest: Angie Brunk, MLS, MA

Angie is an experienced public service librarian and recently completed an MAS in Human Factors and Usability testing (think user experience design) specializing in accessibility. She has taught basic graphic design courses for communications majors and incorporated basic graphic design into her practice as a librarian. Ms. Brunk has published conference proceedings and presentations on various aspects of accessibility and libraries. Her recent presentations include:

A poster and a short paper for the Cambridge Workshop on Universal Access and Assistive Technology
Presentation on accessible and inclusive design for library marketing at Library Marketing and Communications
An article on Accessible and Inclusive Design for the Marketing Library Services newsletter
A book chapter on gamification and accessibility in an anthology published by the Association of College and Research Libraries

Other recent projects include accessibility audits for a library software vendor and a museum. In addition to being born with a visual impairment, she has served on disability services advisory boards at three universities and worked with numerous students with disabilities."
"CivicEngage | Online Forms: The Whys, the Hows, the Dos, and the Don’ts",,"Online Forms: The Whys, the Hows, the Dos, and the Don’ts","Online forms embedded within your website are as vital to citizen communication and engagement today as the telephone was a decade ago. In this recording, Kelly Cook, CivicEngage® Product Director, and Jamie Shannon, CivicEngage Solutions Manager, share best practices for creating digital forms that optimize the citizen engagement process and your internal administrative workflows.

You’ll learn:

Why online forms are a small but powerful tool to demonstrate transparency and build citizen trust
How to ensure citizen satisfaction with optimal feedback loops
How to optimize the digital user experience
How our CivicEngage Form Center will allow you to leverage every best practice and save you time"
Webinar | Is Your Social Media Content Accessible?,,"One in five Americans lives with an audio or visual impairment, creating unique challenges and needs to consume digital content. As local leaders committed to creating positive civic experiences at every touchpoint, have you considered if your social media content is consumable to residents who require assisted technology?


In this recording, special guest, Emily Shuman, Director of the Rocky Mountain ADA Center, and certified ADA coordinator and CivicPlus Partner Manager, Don Torrez, discuss how to ensure every resident in your community has equitable access to your social posts, tweets, and shares."
CivicEngage | Managing COVID-19 Communications Using Multi-Channel Tech,,Managing Your COVID-19 Communications Using Multi-Channel Tech,"Ask any citizen what the one thing was that they wanted most from their local government at the height of the COVID-19 crisis (and still today), and they’ll tell you communication. COVID-19 has redefined citizens’ relationships with their local government. Your citizens want regular, proactive, transparent news, updates, information, and guidance, and they want it from every possible communication channel.

Fortunately, all you need to deliver on these expectations is a content management system (CMS) with multi-channel communication functionality.

Join us as we share best practices from users of our CivicEngage® CMS who have leveraged its functionality to keep citizens safe and informed during the COVID-19 crisis. Attendees will leave this event with new ideas for amplifying the reach of pandemic news, updates, and instructions."
CivicPlus | Website Best Practices,,Webinar Recording: Municipal Website Best Practices ,"Your municipal website is your most visited destination in your community, so it’s crucial that residents have easy access to clear, accessible, and transparent digital resources and services.  

We know it’s not always easy to identify what actions need to be taken to ensure your website is meeting the necessary standards, but we are here to help. 

Join our subject matter expert in an informative webinar that reviews municipal website best practices that will help get your website where it needs to be in terms of functionality, accessibility, and ease of use for residents, businesses, and visitors.
"
"CivicOptimize | Sandy City, UT Case Study",,"Sandy City, UT Shares How It’s Using Low-Code Development to Take Services Online Fast","Sandy City, UT is committed to enabling online citizen self-service and streamlining its back-end workflows by integrating its disparate systems. When COVID-19 disrupted its City—and the world—the pressure was on to migrate services online fast.

Watch our most recent webinar and hear from Teako Warfield-Graham, Sandy City Web Developer, and Eric Richards, Sandy City Communication Director, about how the City is leveraging our CivicOptimize® Productivity low-code, rapid application development software to build custom applications and integrations to address the needs of its staff and citizens. We’ll discuss how Sandy City is:

Taking paper-based efforts online, eliminating friction for citizens and staff, and enabling residents to stay safer-at-home
Streamlining citizen interactions with the City
Taking a mobile-first approach to citizens’ online experiences
Launching mobile apps without waiting for app store approvals

 

About Our Guest: Teako Warfield-Graham

Teako is a full-stack software developer specializing in web applications at Sandy City, Utah. Teako works in the Mayor's office handling digital initiatives as a part of a cross-disciplinary Communication team. Sandy City Communications runs its department ""agency style"" providing services to 18 internal departments. Teako actively works with the administration to bring the innovation and digital convenience enjoyed by the private sector to government services.

Teako is also a member of the CivicPlus® Client Advisory Board, which is comprised of seven of the nation’s leaders in public sector enterprise technology and civic engagement. As a collaborative partner with CivicPlus, Teako has worked with the CivicOptimize team to develop apps and use cases that assist Sandy City with continuing to improve citizen services."
CivicOptimize | Securing Application Data with CivicOptimize,,"Securing Your Shared Application Data with CivicOptimize® Productivity
","The protection of your data is crucial, but so is the ability to share it across your CivicPlus solutions and third-party applications. Hear our solutions experts talk about how our low-code development software enables you to eliminate process redundancies while keeping shared data protected from cyber threats.
 
Watch as we discuss:
How to authenticate app users
The benefits of integrated CivicPlus® Platform security protocols
How encryption helps secure transactions
Our PCI-compliant payment gateway offering
The importance of creating and enforcing secure data retention policies"
CivicOptimize | Introducing CivicOptimize® Volunteer,,"Introducing CivicOptimize® Volunteer, a Solution for Volunteer Management in Your Community"
CivicPlus | Building Resident Trust Through Real-Time Transparency,,Webinar Recording: Building Resident Trust Through Real-Time Code of Ordinances Transparency,"As resident interactions evolve to meet escalating contactless government expectations, it’s more important than ever to provide residents with a transparent, accessible, up-to-date code of ordinances. In this session, you’ll learn about the following: 

The importance of keeping your code of ordinances accessible and accurate  
How failure to make access frictionless can result in resident dissatisfaction 
Solutions to avoid the frustration of “batching” and provide real-world examples from clerks in the CivicPlus® family"
CivicPlus | Strategies for Planning and Managing ARPA Funds,,Webinar Recording: Strategies for Planning and Managing ARPA Funds
CivicPlus | How to Optimize Your Website with Chatbot Data,,Webinar Recording: How to Optimize Your Website with Chatbot Data,"In this webinar recording, Kaitlin Berry, CivicPlus® Solutions Engineer, to learn how adding a chatbot to your website can help you understand how your residents navigate your website, the information they look for most commonly, identify information gaps, and inform your website redesign strategy."
CivicPlus | Integration Hub ,,"Explore the Newest Integrations and Tools Available from CivicPlus®
"
On-demand Online Forms Webinar: Streamlining Data Capture,,"Online Forms: The Hows, the Dos, and the Don’ts – Part 2","Thanks to the overwhelming participation in our previous Online Forms webinar and the feedback we’ve received from cities and counties just like yours, we’re hosting a second webinar covering the best practices for creating digital forms, optimizing your administrative workflows, and to answer your pressing questions.

Online forms are a vital part of your civic organization and encourage positive citizen communication and engagement. In this webinar recording, Jamie Shannon, CivicEngage Solutions Manager, explains how forms are a small but powerful tool in optimizing the digital user experience and help build citizen trust."
CivicPlus | What Local Governments Need to Know About the ARPA,,Informational Webinar: What Local Governments Need to Know About the American Rescue Plan Act,Our analysts offer advice and guidance for local government leaders on how they can access the latest round of federal stimulus funding to support needed technology investments. Fill out the form to access our informational webinar.
